"","id","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","age","nation","school","gender"
"210",213,3,4,4,2,3,5,4,5,3,4,20,"1",3,"weiblich"
"211",214,3,5,2,5,3,3,2,5,3,4,20,"1",3,"männlich"
"212",215,2,4,2,4,4,5,2,5,4,4,22,"1",3,"weiblich"
"213",216,5,4,2,5,4,4,2,3,4,5,20,"1",3,"männlich"
"214",217,2,4,1,3,4,2,1,1,5,4,21,"1",3,"weiblich"
"215",218,3,3,2,4,4,4,3,5,4,4,23,"1",3,"weiblich"
"216",219,5,5,2,2,3,5,3,4,3,4,27,"9",3,"weiblich"
"217",220,4,5,4,5,5,4,4,5,5,4,22,"1",3,"männlich"
"218",221,4,5,3,2,4,4,3,5,3,4,23,"1",3,"weiblich"
"219",222,5,5,5,5,5,5,5,5,5,5,32,"1",3,"männlich"
"220",223,3,4,4,4,4,4,4,4,4,4,19,"1",3,"männlich"
"221",224,3,4,4,4,4,4,3,4,4,5,23,"1",3,"männlich"
"222",225,5,5,4,5,3,4,4,5,3,5,23,"1",3,"männlich"
"223",226,3,4,3,3,3,3,3,4,4,3,24,"1",3,"weiblich"
"224",227,4,4,3,5,2,4,3,4,3,5,22,"1",3,"männlich"
"225",229,4,4,3,4,4,4,3,5,4,5,26,"1",3,"männlich"
"226",230,5,4,3,2,4,3,5,4,4,5,31,"15",4,"männlich"
"227",231,3,4,5,4,4,4,5,4,4,3,23,"1",3,"weiblich"
"228",232,5,4,3,5,3,5,3,5,3,4,21,"1",3,"männlich"
"229",233,5,4,3,5,3,5,3,5,3,4,19,"1",3,"männlich"
"230",234,5,4,4,4,5,5,3,3,5,4,23,"1",3,"weiblich"
"231",235,5,5,4,5,4,4,4,2,4,4,24,"1",3,"männlich"
"232",236,4,2,3,4,4,5,4,3,3,5,27,"1",3,"weiblich"
"233",237,5,4,3,3,4,5,2,3,4,1,20,"1",3,"weiblich"
"234",238,4,4,3,4,3,4,3,4,3,4,27,"1",3,"männlich"
"235",239,5,4,2,4,3,4,2,5,3,5,25,"1",3,"männlich"
"236",240,4,4,3,4,5,4,3,4,4,4,31,"1",3,"weiblich"
"237",241,4,4,2,2,2,4,2,2,2,2,24,"1",3,"männlich"
"238",242,3,3,4,4,4,3,4,3,4,2,24,"1",3,"männlich"
"239",243,5,4,4,3,4,5,4,3,4,2,25,"1",3,"weiblich"
"240",244,3,4,2,3,3,3,2,4,3,3,25,"13",3,"weiblich"
"241",246,4,5,4,5,4,5,4,4,4,4,29,"1",3,"weiblich"
"242",248,2,5,5,4,2,4,2,5,2,4,23,"1",3,"weiblich"
"243",249,3,3,3,5,4,4,4,3,4,5,24,"1",3,"männlich"
"244",250,3,5,4,4,4,4,2,4,4,2,25,"1",3,"weiblich"
"245",251,5,2,3,5,3,2,3,5,4,5,27,"1",3,"weiblich"
"246",252,5,3,2,3,3,5,2,3,4,1,23,"1",3,"männlich"
"247",253,4,4,5,5,4,4,5,3,4,4,29,"1",3,"männlich"
"248",254,3,4,5,5,4,3,4,3,4,5,30,"1",3,"männlich"
"249",255,5,3,3,4,3,5,3,3,4,2,27,"1",2,"weiblich"
"250",256,5,5,5,4,4,5,5,5,4,4,20,"1",3,"weiblich"
"251",257,5,5,5,4,3,5,3,2,3,2,28,"1",3,"männlich"
"252",258,3,5,4,4,4,5,4,5,4,5,22,"1",3,"männlich"
"253",259,4,4,2,3,4,4,2,2,4,2,26,"1",3,"männlich"
"254",260,5,2,3,3,5,5,4,1,4,2,25,"1",3,"weiblich"
"255",261,4,3,4,5,4,5,3,2,4,5,27,"1",3,"weiblich"
"256",262,5,5,4,5,4,5,3,5,4,5,26,"1",3,"männlich"
"257",263,5,5,4,4,4,5,4,4,4,5,22,"1",3,"männlich"
"258",264,5,4,2,4,3,5,2,5,3,4,25,"1",3,"weiblich"
"259",265,3,3,3,5,4,3,2,3,4,5,24,"1",3,"weiblich"
"260",266,4,5,4,4,4,4,4,3,4,4,23,"1",3,"weiblich"
"261",267,3,3,4,5,5,3,4,4,5,4,22,"1",3,"männlich"
"262",268,4,5,4,3,4,5,4,5,3,2,25,"1",3,"männlich"
"263",269,5,3,4,3,3,5,4,3,3,4,19,"1",2,"männlich"
"264",270,4,3,5,4,2,3,4,2,3,4,24,"1",3,"weiblich"
"265",271,5,5,3,5,3,5,2,5,3,4,28,"1",3,"männlich"
"266",272,3,5,4,5,4,4,1,3,3,4,26,"20",3,"weiblich"
"267",273,2,3,4,4,4,5,3,5,4,3,22,"1",3,"weiblich"
"268",274,3,3,4,4,4,4,4,4,4,2,24,"1",3,"weiblich"
"269",275,5,5,5,5,5,5,5,5,4,5,49,"1",1,"männlich"
"270",276,3,4,4,2,3,3,4,2,3,4,20,"1",3,"weiblich"
"271",277,5,4,4,4,4,5,4,4,3,3,28,"1",3,"weiblich"
"272",278,5,5,4,5,4,5,2,3,3,5,21,"1",3,"weiblich"
"273",279,5,4,3,3,2,2,3,5,2,4,32,"15",3,"weiblich"
"274",280,5,5,4,5,4,4,4,5,4,2,26,"1",3,"männlich"
"275",281,3,5,4,3,4,4,3,4,4,4,24,"1",3,"weiblich"
"276",282,3,5,1,4,1,4,1,4,2,4,24,"1",3,"weiblich"
"277",283,2,4,3,4,4,3,3,4,4,4,19,"1",3,"männlich"
"278",284,4,4,4,5,5,4,3,5,5,3,22,"1",3,"weiblich"
"279",285,4,4,2,3,3,4,2,4,2,3,26,"1",3,"männlich"
"280",286,3,3,3,5,3,3,2,3,4,4,33,"1",3,"männlich"
"281",287,4,5,3,5,3,5,3,5,3,4,25,"1",3,"männlich"
"282",288,3,3,3,5,3,3,3,3,2,5,21,"22",3,"männlich"
"283",289,4,5,4,4,4,4,4,5,4,4,28,"1",3,"weiblich"
"284",290,5,4,4,5,4,5,3,5,4,4,22,"1",3,"männlich"
"285",291,4,5,4,4,4,5,4,5,4,5,25,"1",3,"weiblich"
"286",292,2,4,2,4,3,3,1,5,3,3,22,"1",3,"männlich"
"287",293,4,5,4,5,4,5,4,4,4,5,22,"1",3,"männlich"
"288",294,1,3,4,5,4,1,5,2,4,5,21,"1",3,"weiblich"
"289",295,3,5,4,4,3,4,4,4,3,3,24,"1",3,"weiblich"
"290",296,4,2,1,3,4,5,2,3,4,5,21,"1",3,"weiblich"
"291",297,4,3,5,4,3,4,5,3,3,5,29,"1",3,"weiblich"
"292",298,4,4,5,5,4,3,4,5,4,5,23,"1",3,"weiblich"
"293",299,4,4,3,5,4,5,2,4,4,5,23,"1",3,"männlich"
"294",300,5,4,2,3,3,5,3,5,3,3,21,"1",3,"weiblich"
"295",301,4,4,4,3,3,4,4,4,3,4,22,"1",3,"männlich"
"296",302,2,5,2,5,3,5,1,5,3,5,21,"1",3,"weiblich"
"297",303,4,5,3,5,4,4,4,5,4,5,23,"1",3,"männlich"
"298",304,4,2,5,2,5,3,4,2,5,3,24,"1",3,"weiblich"
"299",305,5,4,4,5,4,5,4,3,4,5,25,"1",3,"männlich"
"300",306,3,5,3,5,5,5,3,5,5,5,22,"1",3,"männlich"
"301",307,4,4,3,5,4,3,3,5,4,5,19,"1",3,"männlich"
"302",308,5,5,4,2,4,5,5,5,5,4,22,"15",3,"männlich"
"303",309,5,5,3,4,4,5,3,5,4,5,22,"1",3,"weiblich"
"304",310,4,4,3,4,4,5,3,2,4,4,22,"1",3,"weiblich"
"305",311,5,4,4,4,4,5,2,5,5,3,27,"1",3,"männlich"
"306",313,5,4,4,3,4,5,3,3,5,3,21,"1",3,"weiblich"
"307",314,4,4,2,3,4,5,2,4,4,2,21,"1",3,"männlich"
"308",315,5,4,3,4,4,4,2,3,4,4,20,"19",3,"männlich"
"309",316,4,5,4,5,4,4,4,3,4,5,23,"1",3,"männlich"
"310",317,4,4,1,5,3,3,1,4,2,5,22,"1",3,"weiblich"
"311",319,4,4,4,4,4,4,4,3,4,4,20,"1",3,"männlich"
"312",320,3,4,4,5,4,4,4,4,4,5,20,"1",3,"männlich"
"313",321,4,3,4,5,4,4,4,3,5,5,20,"1",3,"männlich"
"314",322,3,5,3,5,4,4,2,5,4,4,19,"1",3,"männlich"
"315",323,3,2,2,2,4,3,2,2,4,2,23,"1",3,"weiblich"
"316",324,3,4,3,4,4,3,3,4,3,2,20,"1",3,"männlich"
"317",325,4,2,3,4,5,4,3,5,5,5,20,"1",3,"weiblich"
"318",326,4,5,3,5,5,4,3,5,5,5,19,"1",3,"männlich"
"319",327,2,4,2,5,5,4,3,5,5,5,21,"1",3,"weiblich"
"320",328,2,1,3,2,4,2,3,3,4,2,27,"1",3,"weiblich"
"321",329,3,4,2,4,4,4,2,2,4,3,20,"1",3,"männlich"
"322",330,4,4,3,3,4,5,3,2,3,4,34,"1",3,"männlich"
"323",331,3,3,2,4,4,5,2,4,4,5,22,"17",3,"männlich"
"324",332,3,3,5,2,3,4,4,5,3,3,21,"24",3,"weiblich"
"325",333,4,4,3,5,3,4,2,4,3,4,22,"1",3,"männlich"
"326",334,5,5,4,2,3,5,3,3,3,2,20,"1",3,"weiblich"
"327",335,4,5,2,5,4,5,2,4,4,5,20,"1",3,"weiblich"
"328",336,4,5,5,5,4,4,5,3,4,5,22,"1",3,"weiblich"
"329",337,3,4,2,3,3,5,3,5,3,4,20,"1",3,"weiblich"
"330",338,3,4,3,5,4,3,3,4,4,4,22,"1",3,"männlich"
"331",339,2,4,2,5,3,3,2,5,4,5,29,"1",3,"weiblich"
"332",340,3,3,4,5,3,4,4,4,3,4,22,"1",3,"weiblich"
"333",341,4,5,5,5,5,3,4,5,5,4,29,"1",3,"weiblich"
"334",342,4,5,4,4,4,4,3,5,4,4,26,"1",3,"männlich"
"335",344,5,5,4,5,5,5,5,5,5,5,19,"1",3,"männlich"
"336",345,4,5,4,5,3,3,4,4,3,4,21,"1",3,"männlich"
"337",346,4,4,2,5,4,4,1,5,4,4,22,"1",3,"männlich"
"338",347,4,4,4,4,4,4,3,4,3,3,25,"1",3,"männlich"
"339",348,4,4,5,4,4,4,5,4,4,4,23,"1",3,"männlich"
"340",349,4,4,2,4,3,5,2,2,3,4,20,"1",3,"männlich"
"341",350,3,5,4,5,3,4,5,4,3,4,21,"1",3,"männlich"
"342",351,4,5,3,5,3,4,4,5,3,5,29,"1",3,"männlich"
"343",352,5,5,4,4,4,5,4,4,4,2,21,"1",3,"männlich"
"344",353,1,5,3,2,4,5,3,5,4,2,19,"1",3,"männlich"
"345",354,5,5,4,3,5,5,5,4,4,3,21,"1",3,"männlich"
"346",355,3,4,4,5,4,4,4,5,4,5,22,"1",3,"männlich"
